filepath,label,source_dataset
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (10).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (100).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1000).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1002).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1005).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1006).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1007).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1008).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1009).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (101).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1010).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1012).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1015).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1016).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1017).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1019).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (102).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1020).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1021).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1022).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1024).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1025).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1026).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1027).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (103).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (104).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (105).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (106).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (108).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (109).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (11).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (110).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (112).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (114).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (115).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (116).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (117).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (118).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (119).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (12).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (120).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (121).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (122).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (123).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (124).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (125).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (126).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (127).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (128).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (129).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (13).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (130).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (131).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (133).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (134).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (135).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (136).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (138).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (14).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (140).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (142).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (143).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (144).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (145).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (146).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (147).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (148).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (149).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (150).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (151).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (153).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (157).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (158).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (159).jpg,bad,kaggle
