2026-05-25 16:46:02,886 | INFO | src.data.classification_dataset | Saved classification leakage audit to D:\Tyre_Classification\outputs\classification\leakage_audit.json
2026-05-25 16:46:07,332 | INFO | src.data.classification_dataset | Prepared train classification manifest with 16 samples (0 crops, 16 fallbacks).
2026-05-25 16:46:08,194 | INFO | src.data.classification_dataset | Prepared val classification manifest with 8 samples (0 crops, 8 fallbacks).
2026-05-25 16:46:08,997 | INFO | src.data.classification_dataset | Prepared test classification manifest with 8 samples (1 crops, 7 fallbacks).
2026-05-25 16:46:09,432 | INFO | __main__ | Training efficientnet on cpu
2026-05-25 16:46:40,442 | INFO | src.data.classification_dataset | Saved classification leakage audit to D:\Tyre_Classification\outputs\classification\leakage_audit.json
2026-05-25 16:46:42,944 | INFO | src.data.classification_dataset | Prepared train classification manifest with 16 samples (0 crops, 16 fallbacks).
2026-05-25 16:46:43,466 | INFO | src.data.classification_dataset | Prepared val classification manifest with 8 samples (0 crops, 8 fallbacks).
2026-05-25 16:46:43,975 | INFO | src.data.classification_dataset | Prepared test classification manifest with 8 samples (1 crops, 7 fallbacks).
2026-05-25 16:46:44,369 | INFO | __main__ | Training efficientnet on cpu
2026-05-25 16:46:48,133 | INFO | __main__ | Epoch 1 | train={'accuracy': 0.875, 'precision': 1.0, 'recall': 0.875, 'f1_score': 0.9333333333333333, 'loss': 0.5320047736167908} | val={'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'loss': 0.4336041957139969}
2026-05-25 16:46:48,201 | INFO | src.models.classifiers | Saved classifier checkpoint to D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\best_model.pt
2026-05-25 16:46:48,263 | INFO | src.models.classifiers | Saved classifier checkpoint to D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\last_model.pt
2026-05-25 16:46:49,844 | INFO | src.models.classifiers | Loaded efficientnet classifier weights from D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\best_model.pt
2026-05-25 17:05:35,233 | INFO | src.data.classification_dataset | Saved classification leakage audit to D:\Tyre_Classification\outputs\classification\leakage_audit.json
2026-05-25 17:05:40,068 | INFO | src.data.classification_dataset | Prepared train classification manifest with 16 samples (0 crops, 16 fallbacks).
2026-05-25 17:05:41,276 | INFO | src.data.classification_dataset | Prepared val classification manifest with 8 samples (0 crops, 8 fallbacks).
2026-05-25 17:05:43,471 | INFO | src.data.classification_dataset | Prepared test classification manifest with 8 samples (1 crops, 7 fallbacks).
2026-05-25 17:05:44,547 | INFO | __main__ | Training efficientnet on cpu
2026-05-25 17:05:52,006 | INFO | __main__ | Epoch 1 | train={'accuracy': 0.875, 'precision': 1.0, 'recall': 0.875, 'f1_score': 0.9333333333333333, 'loss': 0.5320047736167908} | val={'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'loss': 0.4336041957139969}
2026-05-25 17:05:52,107 | INFO | src.models.classifiers | Saved classifier checkpoint to D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\best_model.pt
2026-05-25 17:05:52,215 | INFO | src.models.classifiers | Saved classifier checkpoint to D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\last_model.pt
2026-05-25 17:05:56,082 | INFO | src.models.classifiers | Loaded efficientnet classifier weights from D:\Tyre_Classification\outputs\classification\efficientnet\checkpoints\best_model.pt
2026-05-25 17:05:58,922 | INFO | src.evaluation.evaluate_classifier | Saved classifier evaluation artifacts to D:\Tyre_Classification\outputs\classification\efficientnet
2026-05-25 17:05:58,928 | INFO | __main__ | Final test metrics for efficientnet: {'loss': 0.3052784353494644, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': None, 'average_precision': None, 'sample_count': 8, 'threshold': 0.5, 'split': 'test', 'model_name': 'efficientnet'}
