epoch,train_loss,val_loss,tire_precision,tire_recall,tire_f1,non_tire_precision,non_tire_recall,non_tire_f1,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,lr
1,0.2465,0.1327,0.9805,1.0,0.9902,0.9949,0.9949,0.9949,0.9915,1.0,0.9958,9.938441702975689e-05
2,0.1333,0.1201,0.986,1.0,0.9929,1.0,0.9949,0.9975,0.9888,1.0,0.9944,9.755282581475769e-05
3,0.1036,0.0864,0.9943,0.9915,0.9929,0.9925,0.9975,0.995,0.9943,0.9915,0.9929,9.45503262094184e-05
4,0.1025,0.0915,0.986,1.0,0.9929,1.0,0.9924,0.9962,0.9888,1.0,0.9944,9.045084971874738e-05
5,0.0852,0.0781,0.9972,0.9972,0.9972,0.9851,1.0,0.9925,1.0,0.9943,0.9972,8.535533905932738e-05
6,0.0717,0.0724,0.9944,1.0,0.9972,1.0,0.9975,0.9987,0.9972,1.0,0.9986,7.938926261462366e-05
7,0.0671,0.0698,0.9972,1.0,0.9986,1.0,1.0,1.0,0.9972,1.0,0.9986,7.269952498697734e-05
8,0.0567,0.101,0.9805,1.0,0.9902,1.0,0.9848,0.9924,0.9805,1.0,0.9902,6.545084971874738e-05
9,0.0625,0.0585,0.9915,1.0,0.9958,1.0,0.9975,0.9987,0.9972,1.0,0.9986,5.782172325201156e-05
10,0.056,0.0656,0.9944,1.0,0.9972,1.0,1.0,1.0,0.9972,1.0,0.9986,5.000000000000001e-05
11,0.05,0.0467,0.9915,1.0,0.9958,1.0,0.9975,0.9987,0.9915,1.0,0.9958,4.217827674798848e-05
