epoch,train_loss,val_loss,tire_precision,tire_recall,tire_f1,non_tire_precision,non_tire_recall,non_tire_f1,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,lr
1,0.1968,0.0775,0.9721,0.9915,0.9817,0.9981,0.9968,0.9974,0.9776,0.9915,0.9845,9.938441702975689e-05
2,0.0998,0.1009,0.9914,0.983,0.9872,0.993,0.9994,0.9962,0.9971,0.9744,0.9856,9.755282581475769e-05
3,0.0835,0.0771,0.9643,0.9972,0.9804,0.9987,0.9961,0.9974,0.9777,0.9972,0.9873,9.45503262094184e-05
4,0.0811,0.0732,0.9832,0.9972,0.9901,0.9981,0.9968,0.9974,0.9832,0.9972,0.9901,9.045084971874738e-05
5,0.0643,0.0681,0.9943,0.9858,0.99,0.9962,0.9994,0.9978,0.9971,0.9858,0.9914,8.535533905932738e-05
6,0.0523,0.0573,0.9644,1.0,0.9819,1.0,0.9961,0.9981,0.9724,1.0,0.986,7.938926261462366e-05
7,0.0446,0.0479,1.0,0.983,0.9914,0.9943,1.0,0.9971,1.0,0.9773,0.9885,7.269952498697734e-05
8,0.0381,0.0298,0.9972,0.9972,0.9972,0.9987,1.0,0.9994,1.0,0.9943,0.9972,6.545084971874738e-05
9,0.032,0.0379,0.9972,0.9943,0.9957,0.9981,0.9994,0.9987,0.9972,0.9943,0.9957,5.782172325201156e-05
10,0.0277,0.0321,1.0,0.9915,0.9957,0.9974,1.0,0.9987,1.0,0.9915,0.9957,5.000000000000001e-05
11,0.0245,0.0319,0.9972,0.9943,0.9957,0.9981,0.9994,0.9987,0.9971,0.9915,0.9943,4.217827674798848e-05
12,0.0184,0.0157,0.9972,0.9972,0.9972,0.9994,0.9994,0.9994,0.9972,0.9972,0.9972,3.454915028125264e-05
13,0.016,0.0155,1.0,0.9943,0.9972,0.9987,1.0,0.9994,1.0,0.9943,0.9972,2.730047501302267e-05
14,0.0122,0.0262,1.0,0.983,0.9914,0.9962,1.0,0.9981,1.0,0.983,0.9914,2.0610737385376356e-05
15,0.0112,0.0162,0.9915,1.0,0.9958,1.0,0.9981,0.999,0.9915,1.0,0.9958,1.464466094067263e-05
16,0.0099,0.0144,0.9971,0.9915,0.9943,0.9981,1.0,0.999,0.9971,0.9915,0.9943,9.549150281252635e-06
17,0.0086,0.0099,0.9944,1.0,0.9972,0.9994,0.9994,0.9994,0.9972,0.9972,0.9972,5.4496737905816115e-06
