source_dataset,label,raw_filepath,filename,extension,processed_filepath,width,height,image_mode,file_size_bytes,content_hash
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1).jpg,Defective (1).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1).jpg,748,748,RGB,445415,e458656da1d3f817237640bb3033c9c1
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (10).jpg,Defective (10).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (10).jpg,1011,1011,RGB,684820,90ebc83499c6b097ebbeee2f7afc4512
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (100).jpg,Defective (100).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (100).jpg,270,270,RGB,50998,4d471e6f771cc0c6c3bfbc0aff9408fd
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1000).jpg,Defective (1000).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1000).jpg,523,523,RGB,131427,5355c4688710cf586f3d354852db9d62
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1001).jpg,Defective (1001).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1001).jpg,364,364,RGB,124972,c102e0983b57e9d00045c557a3517090
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1002).jpg,Defective (1002).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1002).jpg,1592,1592,RGB,1164831,0f1bcc6e8a786630637b3c69942cb245
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1003).jpg,Defective (1003).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1003).jpg,1600,1600,RGB,1277703,299f33f234de5c0d606c57718d7906af
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1004).jpg,Defective (1004).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1004).jpg,1532,1532,RGB,1371072,f878b0f4074bd757df46f55f433b72cc
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1005).jpg,Defective (1005).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1005).jpg,378,378,RGB,93161,25bb16359a300c1735ce2efb5c265bc2
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1006).jpg,Defective (1006).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1006).jpg,414,414,RGB,82372,86696791513f44b8d68e2ad9586dcda2
