filepath,true_class,predicted_class,confidence
D:\Tyre_Classification\datasets\annotated\bad\bad_140.jpg,Bad-Tire,Good-Tire,0.9854
D:\Tyre_Classification\datasets\annotated\bad\bad_156.jpg,Bad-Tire,Good-Tire,0.9723
D:\Tyre_Classification\datasets\annotated\bad\bad_160.jpg,Bad-Tire,Good-Tire,0.8138
D:\Tyre_Classification\datasets\annotated\bad\bad_161.jpg,Bad-Tire,Good-Tire,0.9985
D:\Tyre_Classification\datasets\annotated\bad\bad_165.jpg,Bad-Tire,Good-Tire,0.9968
D:\Tyre_Classification\datasets\annotated\bad\bad_168.jpg,Bad-Tire,Good-Tire,0.8892
D:\Tyre_Classification\datasets\annotated\bad\bad_184.jpg,Bad-Tire,Good-Tire,0.9338
D:\Tyre_Classification\datasets\annotated\bad\bad_189.jpg,Bad-Tire,Good-Tire,0.9565
D:\Tyre_Classification\datasets\annotated\bad\bad_190.jpg,Bad-Tire,Good-Tire,0.9956
D:\Tyre_Classification\datasets\annotated\bad\bad_193.jpg,Bad-Tire,Good-Tire,0.9988
D:\Tyre_Classification\datasets\annotated\bad\bad_33.jpg,Bad-Tire,Good-Tire,0.8063
D:\Tyre_Classification\datasets\annotated\bad\bad_50.jpg,Bad-Tire,Good-Tire,0.9355
D:\Tyre_Classification\datasets\annotated\bad\bad_64.jpg,Bad-Tire,Good-Tire,0.9301
D:\Tyre_Classification\datasets\annotated\bad\bad_67.jpg,Bad-Tire,Good-Tire,0.9963
D:\Tyre_Classification\datasets\annotated\bad\bad_71.jpg,Bad-Tire,Good-Tire,0.9037
D:\Tyre_Classification\datasets\annotated\good\good_1105.jpg,Good-Tire,Bad-Tire,0.7582
D:\Tyre_Classification\datasets\annotated\good\good_1200.jpg,Good-Tire,Bad-Tire,0.7854
D:\Tyre_Classification\datasets\annotated\good\good_312.jpg,Good-Tire,Bad-Tire,0.7476
D:\Tyre_Classification\datasets\annotated\good\good_386.jpg,Good-Tire,Non-Tire,0.9011
D:\Tyre_Classification\datasets\annotated\good\good_516.jpg,Good-Tire,Bad-Tire,0.8004
D:\Tyre_Classification\datasets\annotated\good\good_776.jpg,Good-Tire,Bad-Tire,0.7733
D:\Tyre_Classification\datasets\annotated\good\good_781.jpg,Good-Tire,Bad-Tire,0.8949
D:\Tyre_Classification\datasets\annotated\good\good_802.jpg,Good-Tire,Bad-Tire,0.8003
